#
#"Secondary Electron Energy @ Incident Angle 0° / eV"	"Vaughan [Real]"
#---------------------------------------------------------------------
0.0000000000000	0.0000000000000
0.10010010004044	0.0035416216123849
0.20020020008087	0.0069893337786198
0.30030030012131	0.010345003567636
0.40040040016174	0.013610466383398
0.50050050020218	0.016787523403764
0.60060060024261	0.019877944141626
0.70070070028305	0.022883469238877
0.80080080032349	0.025805806741118
0.90090090036392	0.028646631166339
1.0010010004044	0.031407594680786
1.1011011600494	0.034090314060450
1.2012012004852	0.036696370691061
1.3013013601303	0.039227340370417
1.4014014005661	0.041684743016958
1.5015015602112	0.044070094823837
1.6016016006470	0.046384867280722
1.7017017602921	0.048630516976118
1.8018018007278	0.050808463245630
1.9019019603729	0.052920114248991
2.0020020008087	0.054966840893030
2.1021020412445	0.056949991732836
2.2022023200989	0.058870900422335
2.3023023605347	0.060730863362551
2.4024024009705	0.062531158328056
2.5025024414062	0.064273037016392
2.6026027202606	0.065957747399807
2.7027027606964	0.067586474120617
2.8028028011322	0.069160431623459
2.9029028415680	0.070680767297745
3.0030031204224	0.072148635983467
3.1031031608582	0.073565162718296
3.2032032012939	0.074931442737579
3.3033032417297	0.076248556375504
3.4034035205841	0.077517583966255
3.5035035610199	0.078739561140537
3.6036036014557	0.079915501177311
3.7037036418915	0.081046424806118
3.8038039207458	0.082133315503597
3.9039039611816	0.083177141845226
4.0040040016174	0.084178850054741
4.1041040420532	0.085139371454716
4.2042040824890	0.086059629917145
4.3043041229248	0.086940526962280
4.4044046401978	0.087782934308052
4.5045046806335	0.088587723672390
4.6046047210693	0.089355744421482
4.7047047615051	0.090087831020355
4.8048048019409	0.090784788131714
4.9049048423767	0.091447442770004
5.0050048828125	0.092076562345028
5.1051049232483	0.092672921717167
5.2052054405212	0.093237295746803
5.3053054809570	0.093770407140255
5.4054055213928	0.094272993505001
5.5055055618286	0.094745770096779
5.6056056022644	0.095189437270164
5.7057056427002	0.095604695379734
5.8058056831360	0.095992200076580
5.9059057235718	0.096352636814117
6.0060062408447	0.096686631441116
6.1061062812805	0.096994839608669
6.2062063217163	0.097277879714966
6.3063063621521	0.097536370158195
6.4064064025879	0.097770899534225
6.5065064430237	0.097982063889503
6.6066064834595	0.098170451819897
6.7067065238953	0.098336614668369
6.8068070411682	0.098481118679047
6.9069070816040	0.098604507744312
7.0070071220398	0.098707310855389
7.1071071624756	0.098790064454079
7.2072072029114	0.098853260278702
7.3073072433472	0.098897427320480
7.4074072837830	0.098923042416573
7.5075073242188	0.098930589854717
7.6076078414917	0.098920553922653
7.7077078819275	0.098893396556377
7.8078079223633	0.098849572241306
7.9079079627991	0.098789520561695
8.0080080032349	0.098713688552380
8.1081085205078	0.098622508347034
8.2082080841064	0.098516389727592
8.3083086013794	0.098395749926567
8.4084081649780	0.098260991275311
8.5085086822510	0.098112508654594
8.6086082458496	0.097950696945190
8.7087087631226	0.097775921225548
8.8088092803955	0.097588568925858
8.9089088439941	0.097388997673988
9.0090093612671	0.097177565097809
9.1091089248657	0.096954621374607
9.2092094421387	0.096720501780510
9.3093090057373	0.096475556492805
9.4094095230103	0.096220098435879
9.5095090866089	0.095954462885857
9.6096096038818	0.095678947865963
9.7097101211548	0.095393881201744
9.8098096847534	0.095099553465843
9.9099102020264	0.094796255230904
10.010009765625	0.094484291970730
10.110110282898	0.094163931906223
10.210209846497	0.093835465610027
10.310310363770	0.093499153852463
10.410410881042	0.093155257403851
10.510510444641	0.092804059386253
10.610610961914	0.092445790767670
10.710710525513	0.092080712318420
10.810811042786	0.091709062457085
10.910910606384	0.091331087052822
11.011011123657	0.090947002172470
11.111110687256	0.090557061135769
11.211211204529	0.090161465108395
11.311311721802	0.089760445058346
11.411411285400	0.089354209601879
11.511511802673	0.088942967355251
11.611611366272	0.088526926934719
11.711711883545	0.088106274604797
11.811811447144	0.087681226432323
11.911911964417	0.087251953780651
12.012012481689	0.086818657815456
12.112112045288	0.086381509900093
12.212212562561	0.085940696299076
12.312312126160	0.085496388375759
12.412412643433	0.085048750042915
12.512512207031	0.084597960114479
12.612612724304	0.084144167602062
12.712712287903	0.083687543869019
12.812812805176	0.083228230476379
12.912913322449	0.082766391336918
13.013012886047	0.082302168011665
13.113113403320	0.081835702061653
13.213212966919	0.081367149949074
13.313313484192	0.080896623432636
13.413413047791	0.080424278974533
13.513513565063	0.079950235784054
13.613614082336	0.079474627971649
13.713713645935	0.078997574746609
13.813814163208	0.078519202768803
13.913913726807	0.078039631247520
14.014014244080	0.077558971941471
14.114113807678	0.077077351510525
14.214214324951	0.076594851911068
14.314313888550	0.076111607253551
14.414414405823	0.075627714395523
14.514514923096	0.075143270194530
14.614614486694	0.074658378958702
14.714715003967	0.074173137545586
14.814814567566	0.073687635362148
14.914915084839	0.073201976716518
15.015014648438	0.072716236114502
15.115115165710	0.072230510413647
15.215215682983	0.071744881570339
15.315315246582	0.071259438991547
15.415415763855	0.070774249732494
15.515515327454	0.070289410650730
15.615615844727	0.069804973900318
15.715715408325	0.069321043789387
15.815815925598	0.068837657570839
15.915915489197	0.068354919552803
16.016016006470	0.067872874438763
16.116115570068	0.067391596734524
16.216217041016	0.066911146044731
16.316316604614	0.066431596875191
16.416416168213	0.065953001379967
16.516515731812	0.065475419163704
16.616617202759	0.064998894929886
16.716716766357	0.064523510634899
16.816816329956	0.064049303531647
16.916917800903	0.063576325774193
17.017017364502	0.063104636967182
17.117116928101	0.062634274363518
17.217216491699	0.062165301293135
17.317317962646	0.061697740107775
17.417417526245	0.061231661587954
17.517517089844	0.060767091810703
17.617618560791	0.060304071754217
17.717718124390	0.059842657297850
17.817817687988	0.059382878243923
17.917917251587	0.058924771845341
18.018018722534	0.058468364179134
18.118118286133	0.058013707399368
18.218217849731	0.057560835033655
18.318317413330	0.057109769433737
18.418418884277	0.056660540401936
18.518518447876	0.056213188916445
18.618618011475	0.055767744779587
18.718719482422	0.055324219167233
18.818819046021	0.054882664233446
18.918918609619	0.054443091154099
19.019018173218	0.054005526006222
19.119119644165	0.053569983690977
19.219219207764	0.053136508911848
19.319318771362	0.052705109119415
19.419420242310	0.052275802940130
19.519519805908	0.051848620176315
19.619619369507	0.051423579454422
19.719718933105	0.051000695675611
19.819820404053	0.050579976290464
19.919919967651	0.050161454826593
20.020019531250	0.049745142459869
20.120121002197	0.049331042915583
20.220220565796	0.048919189721346
20.320320129395	0.048509582877159
20.420419692993	0.048102241009474
20.520521163940	0.047697164118290
20.620620727539	0.047294382005930
20.720720291138	0.046893894672394
20.820821762085	0.046495705842972
20.920921325684	0.046099841594696
21.021020889282	0.045706301927567
21.121120452881	0.045315090566874
21.221221923828	0.044926214963198
21.321321487427	0.044539690017700
21.421421051025	0.044155519455671
21.521520614624	0.043773707002401
21.621622085571	0.043394248932600
21.721721649170	0.043017163872719
21.821821212769	0.042642451822758
21.921922683716	0.042270109057426
22.022022247314	0.041900146752596
22.122121810913	0.041532564908266
22.222221374512	0.041167367249727
22.322322845459	0.040804546326399
22.422422409058	0.040444113314152
22.522521972656	0.040086068212986
22.622623443604	0.039730399847031
22.722723007202	0.039377123117447
22.822822570801	0.039026230573654
22.922922134399	0.038677722215652
23.023023605347	0.038331586867571
23.123123168945	0.037987835705280
23.223222732544	0.037646465003490
23.323324203491	0.037307459861040
23.423423767090	0.036970835179090
23.523523330688	0.036636579781771
