# Exported from SPARK3D 2025 (Copper ECSS-2020).
# First line is incidence angle in degrees.
# First column is incident energy in eV.
# TEEY is the next columns (excluding the first line).
784	1.85207
786	1.84925
788	1.84643
790	1.84361
792	1.84079
794	1.83797
796	1.83515
798	1.83234
800	1.82953
802	1.82671
804	1.8239
806	1.82109
808	1.81829
810	1.81548
812	1.81268
814	1.80987
816	1.80707
818	1.80427
820	1.80147
822	1.79868
824	1.79588
826	1.79309
828	1.7903
830	1.78751
832	1.78472
834	1.7812
836	1.77971
838	1.77822
840	1.77673
842	1.77526
844	1.77378
846	1.77231
848	1.77084
850	1.76938
852	1.76793
854	1.76648
856	1.76503
858	1.76359
860	1.76215
862	1.76071
864	1.75929
866	1.75786
868	1.75644
870	1.75502
872	1.75361
874	1.75221
876	1.7508
878	1.74941
880	1.74801
882	1.74662
884	1.74524
886	1.74386
888	1.74248
890	1.74111
892	1.73974
894	1.73837
896	1.73701
898	1.73566
900	1.7343
902	1.73296
904	1.73161
906	1.73027
908	1.72894
910	1.7276
912	1.72627
914	1.72495
916	1.72363
918	1.72231
920	1.721
922	1.71969
924	1.71839
926	1.71709
928	1.71579
930	1.7145
932	1.71321
934	1.71192
936	1.71064
938	1.70936
940	1.70808
942	1.70681
944	1.70554
946	1.70428
948	1.70302
950	1.70176
952	1.70051
954	1.69926
956	1.69801
958	1.69677
960	1.69553
962	1.6943
964	1.69306
966	1.69184
968	1.69061
970	1.68939
972	1.68817
974	1.68695
976	1.68574
978	1.68453
980	1.68333
982	1.68213
984	1.68093
986	1.67973
988	1.67854
990	1.67735
992	1.67617
994	1.67499
996	1.67381
998	1.67263
1000	1.67146
