# Data extracted with WebPlotDigitizer from DOI: 10.5170/CERN-1989-004
0,0
60,0.9713060433568055
80,1.127497429481386
100,1.1945153645496995
200,1.4382338722152501
300,1.4653494384848285
400,1.4647538552505026
500,1.4199542996705934
600,1.3716834859883624
700,1.300157154589632
800,1.2516184887337878
900,1.209359064841063
1000,1.1632177653098053
1100,1.1247079134239746
1200,1.097485140717446
1300,1.067160847223985
1400,1.0392284075526534
1500,1.0194663164118953
1600,0.9864205714050849
1700,0.9784743158458373
1800,0.9496764017739707
1900,0.9360282391833223
