Version du fichier;1.0.0;;;;;;;; ; 
Type de données;TEEY measurements;;;;;;;; ; 
;;;;;;;;; ; 
Echantillon ;clean_Ag;;;;;;;; ; 
;;;;;;;;; ; 
Energie du canon (eV) ;Energie réelle des électrons (eV);Charge échantillon QS (pC);Charge totale Q0 (pC);TEEY;Ecart type (2 sigma);;;;Opérateur;AP
899;890;5307.329;-5014.284;2.058;0.007;;;;;
909;900;5294.569;-5003.588;2.058;0.009;;;;;
919;910;5285.829;-5008.523;2.055;0.009;;;;;
929;920;5266.042;-5008.002;2.052;0.008;;;;;
939;930;5265.208;-5025.74;2.048;0.009;;;;;
949;940;5237.105;-5022.267;2.043;0.008;;;;;
959;950;5213.517;-5034.604;2.036;0.007;;;;;
969;960;5178.011;-5028.835;2.03;0.007;;;;;
979;970;5171.919;-5032.277;2.028;0.008;;;;;
989;980;5162.694;-5017.771;2.029;0.008;;;;;
999;990;5150.381;-5026.109;2.025;0.008;;;;;
1009;1000;5131.022;-5051.558;2.016;0.008;;;;;
