# cleanAgxx concatenated into a single file.
0,0,20,40,60
10,0.663,0.705,0.742,0.83
20,0.803,0.839,0.869,0.91
30,0.908,0.935,0.967,1.001
40,1.013,1.032,1.072,1.116
50,1.103,1.118,1.168,1.232
60,1.19,1.197,1.261,1.335
70,1.274,1.268,1.34,1.43
80,1.341,1.331,1.414,1.513
90,1.4,1.394,1.482,1.584
100,1.462,1.436,1.527,1.652
110,1.497,1.479,1.578,1.712
120,1.534,1.514,1.618,1.763
130,1.567,1.552,1.659,1.818
140,1.6,1.575,1.692,1.855
150,1.621,1.597,1.722,1.901
160,1.647,1.618,1.747,1.937
170,1.671,1.637,1.774,1.963
180,1.687,1.653,1.796,1.998
190,1.704,1.674,1.821,2.024
200,1.716,1.687,1.83,2.05
210,1.735,1.696,1.85,2.076
220,1.749,1.715,1.866,2.09
230,1.749,1.724,1.872,2.111
240,1.763,1.731,1.889,2.116
250,1.776,1.744,1.889,2.131
260,1.782,1.745,1.903,2.146
270,1.784,1.753,1.914,2.154
280,1.792,1.755,1.923,2.172
290,1.798,1.758,1.925,2.171
300,1.806,1.765,1.921,2.181
310,1.803,1.764,1.926,2.184
320,1.809,1.771,1.93,2.193
330,1.805,1.773,1.931,2.198
340,1.807,1.767,1.93,2.198
350,1.812,1.77,1.936,2.199
360,1.812,1.772,1.933,2.214
370,1.808,1.771,1.939,2.209
380,1.811,1.772,1.937,2.206
390,1.806,1.776,1.933,2.206
400,1.807,1.773,1.935,2.21
410,1.804,1.776,1.929,2.209
420,1.802,1.77,1.926,2.215
430,1.803,1.763,1.931,2.208
440,1.806,1.762,1.929,2.208
450,1.798,1.768,1.922,2.209
460,1.803,1.756,1.925,2.208
470,1.792,1.759,1.917,2.203
480,1.793,1.76,1.917,2.202
490,1.793,1.755,1.914,2.199
500,1.79,1.754,1.915,2.198
510,1.787,1.75,1.912,2.196
520,1.785,1.751,1.904,2.196
530,1.779,1.744,1.901,2.198
540,1.778,1.738,1.896,2.187
550,1.776,1.74,1.895,2.19
560,1.769,1.738,1.89,2.184
570,1.767,1.73,1.887,2.186
580,1.761,1.73,1.885,2.179
590,1.763,1.725,1.887,2.182
600,1.756,1.723,1.877,2.175
610,1.754,1.722,1.879,2.17
620,1.755,1.717,1.868,2.163
630,1.751,1.712,1.868,2.165
640,1.741,1.711,1.865,2.157
650,1.741,1.713,1.858,2.158
660,1.738,1.705,1.849,2.152
670,1.731,1.704,1.851,2.147
680,1.728,1.7,1.848,2.15
690,1.726,1.698,1.846,2.146
700,1.721,1.689,1.838,2.136
710,1.717,1.687,1.833,2.134
720,1.715,1.688,1.833,2.13
730,1.71,1.68,1.831,2.129
740,1.706,1.675,1.827,2.118
750,1.706,1.674,1.819,2.12
760,1.701,1.675,1.819,2.111
770,1.697,1.666,1.811,2.112
780,1.693,1.663,1.81,2.109
790,1.696,1.657,1.806,2.108
800,1.688,1.658,1.801,2.096
810,1.682,1.654,1.796,2.094
820,1.681,1.653,1.795,2.092
830,1.676,1.645,1.789,2.084
840,1.677,1.644,1.794,2.079
850,1.668,1.639,1.785,2.076
860,1.667,1.637,1.78,2.078
870,1.66,1.634,1.778,2.07
880,1.659,1.631,1.773,2.07
890,1.654,1.629,1.77,2.058
900,1.654,1.627,1.769,2.058
910,1.65,1.623,1.765,2.055
920,1.648,1.621,1.756,2.052
930,1.647,1.611,1.755,2.048
940,1.641,1.61,1.753,2.043
950,1.636,1.61,1.745,2.036
960,1.635,1.604,1.741,2.03
970,1.63,1.602,1.741,2.028
980,1.626,1.598,1.734,2.029
990,1.622,1.594,1.732,2.025
1000,1.618,1.593,1.732,2.016
